kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
現,19,11,"present, existing, actual","あらわ.れる, あらわ.す, うつつ, うつ.つ",ゲン,jade,jade,"arawa.reru, arawa.su, utsutsu, utsu.tsu",gen
像,5,14,"statue, picture, image, figure, portrait",None,ゾウ,人,man,None,zou
原,20,10,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,ゲン,厂,cliff,hara,gen
則,4,9,"rule, law, follow, based on, model after","のっと.る, のり, すなわち",ソク,刀,knife,"notto.ru, nori, sunawachi",soku
見,50,7,"see, hopes, chances, idea, opinion, look at, visible","み.る, み.える, み.せる",ケン,見,see,"mi.ru, mi.eru, mi.seru",ken
地,49,6,"ground, earth",None,"チ, ジ",土,earth,None,"chi, ji"
限,11,9,"limit, restrict, to best of ability","かぎ.る, かぎ.り, -かぎ.り",ゲン,dam,mound,"kagi.ru, kagi.ri, -kagi.ri",gen
定,37,8,"determine, fix, establish, decide","さだ.める, さだ.まる, さだ.か","テイ, ジョウ",宀,roof,"sada.meru, sada.maru, sada.ka","tei, jou"
点,27,9,"spot, point, mark, speck, decimal point","つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち",テン,火,fire,"tsu.keru, tsu.ku, ta.teru, sa.su, tobo.su, tomo.su, bochi",ten
典,5,8,"code, ceremony, law, rule","ふみ, のり","テン, デン",八,eight,"fumi, nori","ten, den"
爆,4,19,"bomb, burst open, pop, split",は.ぜる,バク,火,fire,ha.zeru,baku
文,25,4,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)","ふみ, あや","ブン, モン",文,script,"fumi, aya","bun, mon"
厳,4,17,"stern, strictness, severity, rigidity","おごそ.か, きび.しい, いか.めしい, いつくし","ゲン, ゴン",厂,cliff,"ogoso.ka, kibi.shii, ika.meshii, itsukushi","gen, gon"
密,9,11,"secrecy, density (pop), minuteness, carefulness",ひそ.か,ミツ,宀,roof,hiso.ka,mitsu
賢,2,16,"intelligent, wise, wisdom, cleverness",かしこ.い,ケン,貝,shell,kashiko.i,ken
明,28,8,"bright, light","あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす","メイ, ミョウ, ミン",日,sun,"a.kari, aka.rui, aka.rumu, aka.ramu, aki.raka, a.keru, -a.ke, a.ku, a.kuru, a.kasu","mei, myou, min"
倹,1,10,"frugal, economy, thrifty","つま.しい, つづまやか",ケン,人,man,"tsuma.shii, tsuzumayaka",ken
約,10,9,"promise, approximately, shrink","つづ.まる, つづ.める, つづま.やか",ヤク,糸,silk,"tsuzu.maru, tsuzu.meru, tsuzuma.yaka",yaku
油,8,8,"oil, fat",あぶら,"ユ, ユウ",水,water,abura,"yu, yuu"
兼,4,10,"concurrently, and, beforehand, in advance","か.ねる, -か.ねる",ケン,八,eight,"ka.neru, -ka.neru",ken
用,34,5,"utilize, business, service, use, employ",もち.いる,ヨウ,用,use,mochi.iru,you
権,8,15,"authority, power, rights","おもり, かり, はか.る","ケン, ゴン",木,tree,"omori, kari, haka.ru","ken, gon"
力,31,2,"power, strength, strong, strain, bear up, exert",ちから,"リョク, リキ, リイ",力,power,chikara,"ryoku, riki, rii"
言,23,7,"say, word","い.う, こと","ゲン, ゴン",言,speech,"i.u, koto","gen, gon"
論,20,15,"argument, discourse",あげつら.う,ロン,言,speech,agetsura.u,ron
故,7,9,"happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently","ゆえ, ふる.い, もと",コ,攴,rap,"yue, furu.i, moto",ko
語,21,14,"word, speech, language","かた.る, かた.らう",ゴ,言,speech,"kata.ru, kata.rau",go
彙,1,13,"same kind, collect, classify, category, hedgehog",はりねずみ,イ,彐,pig,harinezumi,i
恋,6,10,"romance, in love, yearn for, miss, darling","こ.う, こい, こい.しい",レン,心,heart,"ko.u, koi, koi.shii",ren
甲,2,5,"armor, high (voice), A grade, first class, former, instep, carapace",きのえ,"コウ, カン",田,field,kinoe,"kou, kan"
光,11,6,"ray, light","ひか.る, ひかり",コウ,儿,legs,"hika.ru, hikari",kou
好,18,6,"fond, pleasing, like something","この.む, す.く, よ.い, い.い",コウ,女,woman,"kono.mu, su.ku, yo.i, i.i",kou
意,27,13,"idea, mind, heart, taste, thought, desire, care, liking",None,イ,心,heart,None,i
行,46,6,"going, journey, carry out, conduct, act, line, row, bank","い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","コウ, ギョウ, アン",行,go,"i.ku, yu.ku, -yu.ki, -yuki, -i.ki, -iki, okona.u, oko.nau","kou, gyou, an"
為,7,9,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of","ため, な.る, な.す, す.る, たり, つく.る, なり",イ,火,fire,"tame, na.ru, na.su, su.ru, tari, tsuku.ru, nari",i
合,55,6,"fit, suit, join, 0.1","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","ゴウ, ガッ, カッ",口,mouth,"a.u, -a.u, a.i, ai-, -a.i, -ai, a.wasu, a.waseru, -a.waseru","gou, ga, ka"
工,14,3,"craft, construction, katakana e radical (no. 48)",None,"コウ, ク, グ",工,work,None,"kou, ku, gu"
学,54,8,"study, learning, science",まな.ぶ,ガク,子,child,mana.bu,gaku
抗,5,7,"confront, resist, defy, oppose",あらが.う,コウ,手,hand,araga.u,kou
議,22,20,"deliberation, consultation, debate, consideration",None,ギ,言,speech,None,gi
皇,2,9,emperor,None,"コウ, オウ",白,white,None,"kou, ou"
居,11,8,"reside, to be, exist, live with","い.る, -い, お.る","キョ, コ",尸,corpse,"i.ru, -i, o.ru","kyo, ko"
況,3,8,"condition, situation","まし.て, いわ.んや, おもむき",キョウ,水,water,"mashi.te, iwa.nya, omomuki",kyou
鉱,4,13,"mineral, ore",あらがね,コウ,金,metal,aragane,kou
業,26,13,"business, vocation, arts, performance",わざ,"ギョウ, ゴウ",木,tree,waza,"gyou, gou"
興,8,16,"entertain, revive, retrieve, interest, pleasure","おこ.る, おこ.す","コウ, キョウ",臼,mortar,"oko.ru, oko.su","kou, kyou"
高,20,10,"tall, high, expensive","たか.い, たか, -だか, たか.まる, たか.める",コウ,高,tall,"taka.i, taka, -daka, taka.maru, taka.meru",kou
交,22,6,"mingle, mixing, association, coming & going","まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも",コウ,亠,lid,"maji.waru, maji.eru, ma.jiru, maji.ru, ma.zaru, ma.zeru, -ka.u, ka.wasu, kawa.su, komogomo",kou
互,4,4,"mutually, reciprocally, together","たが.い, かたみ.に",ゴ,二,two,"taga.i, katami.ni",go
煌,1,13,"glitter, gleam, twinkle","きらめ.く, きら.めく, かがや.く",コウ,火,fire,"kirame.ku, kira.meku, kagaya.ku",kou
考,7,6,"consider, think over","かんが.える, かんが.え",コウ,老,old,"kanga.eru, kanga.e",kou
古,8,5,old,"ふる.い, ふる-, -ふる.す",コ,口,mouth,"furu.i, furu-, -furu.su",ko
作,29,7,"make, production, prepare, build","つく.る, つく.り, -づく.り","サク, サ",人,man,"tsuku.ru, tsuku.ri, -zuku.ri","saku, sa"
耕,4,10,"till, plow, cultivate",たがや.す,コウ,耒,plow,tagaya.su,kou
山,10,3,mountain,やま,"サン, セン",山,mountain,yama,"san, sen"
講,8,17,"lecture, club, association",None,コウ,言,speech,None,kou
習,14,11,learn,"なら.う, なら.い","シュウ, ジュ",羽,feather,"nara.u, nara.i","shuu, ju"
口,22,3,mouth,くち,"コウ, ク",口,mouth,kuchi,"kou, ku"
述,4,8,"mention, state, speak, relate",の.べる,ジュツ,辵,walk,no.beru,jutsu
控,3,11,"withdraw, draw in, hold back, refrain from, be moderate","ひか.える, ひか.え",コウ,手,hand,"hika.eru, hika.e",kou
除,9,10,"exclude, division (x/3), remove, abolish, cancel, except","のぞ.く, -よ.け","ジョ, ジ",dam,mound,"nozo.ku, -yo.ke","jo, ji"
渉,2,11,"ford, go cross, transit, ferry, import, involve",わた.る,ショウ,水,water,wata.ru,shou
尚,1,8,"esteem, furthermore, still, yet",なお,ショウ,小,small,nao,shou
向,14,6,"yonder, facing, beyond, confront, defy, tend toward, approach","む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い",コウ,口,mouth,"mu.ku, mu.i, -mu.ki, mu.keru, -mu.ke, mu.kau, mu.kai, mu.kou, mu.kou-, muko, muka.i",kou
上,54,3,"above, up","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","ジョウ, ショウ, シャン",一,one,"ue, -ue, uwa-, kami, a.geru, -a.geru, a.garu, -a.garu, a.gari, -a.gari, nobo.ru, nobo.ri, nobo.seru, nobo.su, tatematsu.ru","jou, shou, shan"
